team_name,position,avg_cost_m,avg_total_points,avg_points_pg,avg_value_efficiency,avg_goals_90,avg_assists_90
Arsenal,DEF,6.13,61.00,6.2,9.9,0.111,0.166
"Crystal Palace",DEF,5.04,51.20,5.12,10.17,0.06,0.14
Chelsea,DEF,5.57,45.67,4.73,8.28,0.123,0.244
Bournemouth,DEF,4.67,43.67,4.63,9.29,0,0.101
Tottenham,DEF,4.95,41.00,4.38,8.29,0.076,0.091
Southampton,DEF,4.20,37.50,4.53,8.89,0.065,0.059
"Man City",DEF,5.40,34.75,4.25,6.51,0.075,0.119
Newcastle,DEF,4.98,33.20,4.32,6.64,0,0.054
Liverpool,DEF,5.70,32.67,3.33,5.74,0.045,0
"Aston Villa",DEF,4.45,31.25,3.4,6.97,0.051,0.062
Brentford,DEF,4.63,30.67,3.07,6.63,0,0
Leeds,DEF,4.25,30.50,3.2,7.23,0.05,0.026
Everton,DEF,4.95,29.25,3.05,5.94,0.026,0
Fulham,DEF,4.50,28.33,3.3,6.3,0,0
Burnley,DEF,4.10,27.25,2.95,6.65,0,0.125
Brighton,DEF,4.43,24.67,2.53,5.57,0.033,0.033
"West Ham",DEF,4.35,24.50,2.45,5.62,0,0.211
"Man United",DEF,4.52,22.60,2.4,4.96,0,0.145
Wolves,DEF,4.40,17.75,2.28,4.03,0.075,0.075
"Nottingham Forest",DEF,5.07,15.00,1.67,2.99,0.033,0
"Man City",FWD,14.80,98.00,9.8,6.62,1.37,0.105
Chelsea,FWD,7.40,52.00,5.2,7.03,0.319,0.319
"Crystal Palace",FWD,7.90,48.00,4.8,6.08,0.621,0
Brentford,FWD,6.20,47.00,4.7,7.58,0.65,0
"West Ham",FWD,7.70,44.00,4.4,5.71,0.3,0.1
Brighton,FWD,6.50,43.00,4.3,6.62,0.864,0
Southampton,FWD,5.60,39.00,3.9,6.96,0.592,0
Tottenham,FWD,6.50,38.00,3.8,5.85,0.499,0.333
Liverpool,FWD,8.60,38.00,4.2,4.42,0.47,0.157
Arsenal,FWD,9.00,37.00,3.7,4.11,0.449,0
Newcastle,FWD,7.50,35.00,5,4.67,0.688,0
"Man United",FWD,7.30,30.00,3,4.11,0.308,0.154
Burnley,FWD,5.00,28.00,3.5,5.6,0.311,0.156
"Aston Villa",FWD,8.50,25.00,2.5,2.94,0.115,0
"Nottingham Forest",FWD,7.20,25.00,3.1,3.47,0.335,0
Leeds,FWD,5.50,24.00,3,4.36,0.151,0.151
Bournemouth,FWD,7.00,23.00,2.9,3.29,0.14,0.14
Everton,FWD,5.20,20.00,2,3.85,0.151,0
Wolves,FWD,6.40,19.00,2.4,2.97,0.146,0
Southampton,GK,4.70,54.00,5.4,11.49,0,0
Arsenal,GK,5.80,52.00,5.2,8.97,0,0
Newcastle,GK,5.20,49.00,4.9,9.42,0,0.1
Tottenham,GK,5.10,46.00,4.6,9.02,0,0
Bournemouth,GK,4.50,39.00,3.9,8.67,0,0
"Crystal Palace",GK,5.00,36.00,3.6,7.2,0,0
Everton,GK,5.50,35.00,3.5,6.36,0,0
Burnley,GK,4.00,33.00,3.3,8.25,0,0
Fulham,GK,5.00,32.00,3.2,6.4,0,0
Chelsea,GK,4.80,31.00,3.1,6.46,0,0
Brentford,GK,4.50,30.00,3,6.67,0,0
"Aston Villa",GK,5.00,26.00,3.2,5.2,0,0
"Man City",GK,5.70,25.00,3.6,4.39,0,0
"Nottingham Forest",GK,4.80,21.00,2.1,4.38,0,0
Brighton,GK,4.40,20.00,2,4.55,0,0
Liverpool,GK,5.40,20.00,3.3,3.7,0,0
Wolves,GK,4.50,13.00,2.2,2.89,0,0
"West Ham",GK,4.30,13.00,2.2,3.02,0,0
"Man United",GK,4.80,11.00,1.8,2.29,0,0
Chelsea,MID,6.60,48.67,5.03,7.48,0.298,0.19
Tottenham,MID,5.80,42.33,4.37,7.32,0.157,0.256
Arsenal,MID,7.38,41.80,4.58,5.99,0.21,0.243
Bournemouth,MID,5.72,41.80,4.22,7.05,0.215,0.185
Liverpool,MID,8.03,38.50,4.1,5.18,0.206,0.185
"Man United",MID,7.40,38.40,4.06,5.3,0.279,0.181
Everton,MID,5.74,37.80,3.92,6.57,0.175,0.162
Southampton,MID,5.00,34.00,3.5,6.78,0.101,0.191
Leeds,MID,5.05,32.25,3.47,6.38,0.099,0.197
Newcastle,MID,5.97,31.33,3.47,5.18,0.112,0.112
Burnley,MID,5.12,31.20,3.38,6.02,0.18,0.075
Brentford,MID,5.76,30.80,3.32,5.39,0.137,0.176
Fulham,MID,5.25,30.67,3.33,5.78,0.133,0.167
"West Ham",MID,5.63,28.67,3.23,5.04,0.157,0.162
Brighton,MID,5.40,28.00,3.2,5.17,0.066,0.273
"Nottingham Forest",MID,6.03,27.75,2.85,4.67,0.101,0.086
"Crystal Palace",MID,5.60,27.25,3.42,4.83,0.096,0.134
"Man City",MID,6.42,27.00,2.88,4.28,0.053,0.242
"Aston Villa",MID,5.70,27.00,2.87,4.71,0.073,0.174
Wolves,MID,5.30,25.00,2.5,4.7,0.029,0.058
