team_name,num_players,total_team_points,avg_points_per_game,avg_goals_conceded,avg_clean_sheets,avg_value_efficiency
Arsenal,16,612,4.19,0.32,4.50,5.85
Tottenham,17,528,3.41,0.83,2.47,5.76
Bournemouth,18,514,3.37,1.39,2.50,5.47
"Man City",19,496,3.4,0.82,2.37,4
Chelsea,16,492,3.59,1.06,2.44,5.4
Southampton,17,486,3.46,0.75,2.53,6.05
"Crystal Palace",13,481,3.95,0.84,3.54,6.93
Newcastle,17,476,3.43,1.1,3.29,5.03
Liverpool,16,448,3.33,1.39,1.94,4.22
"Man United",16,421,3.08,1.56,1.13,4.56
Burnley,16,411,2.97,1.83,1.56,5.5
Fulham,18,396,2.56,1.46,1.22,4.31
"Aston Villa",17,393,2.9,1.02,2.00,4.58
Leeds,19,393,2.61,1.82,1.32,4.37
Everton,14,392,2.94,1.28,1.64,5.2
Brentford,14,389,3.01,1.55,1.71,5.38
Brighton,16,386,2.78,1.56,1.06,4.72
"West Ham",18,308,2.31,2.18,0.67,3.28
Wolves,20,279,1.76,2.31,0.25,2.83
"Nottingham Forest",17,273,2.09,1.94,0.06,2.94
